date,value
2019/01/01,125
2019/01/15,125
2019/02/01,129
2019/02/15,129
2019/03/01,125
2019/03/15,125
2019/04/01,127
2019/04/15,127
2019/05/01,129
2019/05/15,129
2019/06/01,125
2019/06/15,125
2019/07/01,120
2019/07/15,120
2019/08/01,121
2019/08/15,121
2019/09/01,122
2019/09/15,122
