date,value
10/01/2018,130
11/01/2018,130
12/01/2018,130
01/01/2019,125
02/01/2019,129
03/01/2019,125
04/01/2019,127
05/01/2019,129
06/01/2019,125
07/01/2019,120
08/01/2019,121
09/01/2019,122
10/01/2019,123
11/01/2019,121
12/01/2019,114
01/01/2020,109
02/01/2020,105
03/01/2020,101
04/01/2020,95
05/01/2020,98
