date,value
10/01/2019,2
10/15/2019,2
11/01/2019,8
11/15/2019,8
12/01/2019,11
12/15/2019,11
01/01/2020,18
01/15/2020,18
02/01/2020,24
02/15/2020,24
03/01/2020,24
03/15/2020,24
04/01/2020,25
04/15/2020,25
05/01/2020,23
05/15/2020,23
06/01/2020,24
06/15/2020,24
