date,value
10/01/2019,123
10/15/2019,123
11/01/2019,121
11/15/2019,121
12/01/2019,114
12/15/2019,114
01/01/2020,109
01/15/2020,109
02/01/2020,105
02/15/2020,105
03/01/2020,101
03/15/2020,101
04/01/2020,95
04/15/2020,95
05/01/2020,98
05/15/2020,98
06/01/2020,98
06/15/2020,98
