date,value
2018-10-01,130
2018-11-01,130
2018-12-01,130
2019-01-01,125
2019-02-01,129
2019-03-01,125
2019-04-01,127
2019-05-01,129
2019-06-01,125
2019-07-01,120
2019-08-01,121
2019-07-01,122
2019-10-01,123
2019-11-01,121
2019-12-01,114
2020-01-01,109
2020-02-01,105
2020-03-01,101
2020-04-01,95
2020-05-01,98
